Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
489,422,Software Company (M) A28,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,United States,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
490,423,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
491,424,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
492,425,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
493,426,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
494,427,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
495,428,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Lenovo,United States,2019,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,North America
496,429,NA5,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Europe
497,430,NA4,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Europe
498,431,NA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Europe
499,432,NA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Europe
500,433,NA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Lenovo,Netherlands,2018,Industry,57600,,1649.11,2119.68,,,Cluster,Intel Broadwell,2300,Linux,Linux,None,20,Lenovo Cluster,Europe
